국회의원코드,-,국회의원명,국회의원한자명,국회의원영문명,생일구분코드,생일일자,직책명,정당명,선거구명,선거구구분명,위원회명,소속위원회명,재선구분명,당선대수,성별,전화번호,국회의원이메일주소,국회의원홈페이지URL,보좌관,비서관,비서,약력,사무실 호실,국회의원사진
NQO7187X,현직의원,강선영,姜善榮,KANG SUNYOUNG,양,1966-09-24,위원,국민의미래,비례대표,비례대표,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회","국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",초선,제22대,여,02-784-1571,335kang@naver.com,https://blog.naver.com/335kang,"이석태, 최근대",최우찬,"손선엽, 임계영, 최도윤, 허은서, 허성무",■ 학력 숙명 여자대학교 졸업(행정학사) 서울대학교 행정대학원 정책학 석사 수료 국방대학교 국방관리대학원 국방전략 석사  ■ 경력 현) 제22대 국회의원(국민의힘 비례대표) 현) 국민의힘 원내부대표 현) 국회 운영위원회 위원 현) 국회 국방위원회 위원 전) 국민의힘 국가안보위원장 전) 국민의힘 외교안보특별위원회 간사 전) 숙명여자 대학교 안보학교수 (석좌교수) 전) 재향군인회 여성회 자문위원 전) 육군협회 이사 전) 대한민국 육군 항공작전사령관 겸 항공병과장 전) 대한민국 육군 소장 전) 육군항공학교 학교장,의원회관 335호,https://www.assembly.go.kr/static/portal/img/openassm/new/89a10eac7851470598886907100ae5ad.jpg
MNZ4401T,현직의원,강선우,姜仙祐,KANG SUNWOO,음,1978-06-02,위원,더불어민주당/더불어민주당,서울 강서구갑/서울 강서구갑,지역구/지역구,외교통일위원회,외교통일위원회,재선,"제21대, 제22대",여,02-784-5761~3,gangseo.kap@gmail.com,http://blog.naver.com/gangseo-kap,"조현진, 한경달","김가미, 남가희","고정현, 양명선, 전희수, 안중헌",□ 학력  - 이화여자대학교 사범대학 영어교육학과 학사  - 이화여자대학교 대학원 소비자인간발달학과 석사   - 미국 위스콘신대학교 매디슨 캠퍼스     인간발달 및 가족학 박사   □ 주요 약력  - (현) 국회 외교통일위원회 위원  - (현) 더불어민주당 세월호특별위원회 부위원장  - (현) 국회 연금개혁특별위원회 위원  - (현) 더불어민주당 연금개혁특별위원회 위원  - (현) 한미의원연맹 이사  - (현) 더불어민주당 국제외교협력본부 본부장  - (현) 더불어민주당 항공참사대책위원회 희생자가족지원단 위원  - (현) 더불어민주당 내란극복&middot;국정안정 특별위원회 국제협력단장  - (현) 더불어민주당 직능대표자회의 부의장  - (현) 더불어민주당 외교안보통일자문회의 부의장  - (현) 더불어민주당 이태원참사특별위원회 위원  - (현) 더불어민주당 의료대란대책특위 부위원장  - (현) 더불어민주당 국제위원회 위원장  - (현) 자립준비청년 멘티-멘토 프로그램 희망디딤돌 캠페인 자문위원  - (전) 제22대 국회 전반기 보건복지위원회 간사  - (전) 더불어민주당 보건복지정책조정위원회 위원장  - (전) 국회국제보건의료포럼 당연직 이사  - (전) 더불어민주당 세계한인민주회의 부의장  - (전) 더불어민주당 초저출생인구위기대응위원회 위원  - (전) 제21대 국회 보건복지위원회 위원  - (전) 더불어민주당 대변인  - (전) 국회 예산결산특별위원회 위원  - (전) 국회 여성가족위원회 위원  - (전) 더불어민주당 원내부대표  - (전) 대통령 직속 국가교육회의 전문위원   - (전) 미국 사우스다코타주립대학교 조교수   [지역사무실] 서울 강서구 강서로 205 케이빌딩 6층 T: 02-2604-2300 / F:02-2604-2309,의원회관 418호,https://www.assembly.go.kr/static/portal/img/openassm/new/129a16b2bcda41578deb4f1f1009f297.jpg
AO340526,역대의원,강성구,姜成求,Kang Sung-koo,음,1940-09-12,국회의원,새천년민주당,경기도 오산시화성군,지역구,null,"농림해양수산위원회, 통일외교통상위원회, 보건복지위원회, 일본역사교과서왜곡시정을위한특별위원회, 건설교통위원회, 예산결산특별위원회, 남북관계발전지원특별위원회, 법제사법위원회, 국회운영위원회, 문화관광위원회, 국회상임위원회위원정수에관한규칙개정특별위원회",초선,제16대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/AO340526.jpg
1HV72190,역대의원,강성모,姜聖模,Kang Sung-mo,음,1933-04-18,null,민주정의당,서울 서대문구갑,지역구,null,"교육체육청소년위원회, 대전국제무역산업박람회지원특별위원회, 문교체육위원회, 예산결산특별위원회, 양대부정선거조사특별위원회, 지역감정해소특별위원회, 상공위원회",초선,제13대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/1HV72190.jpg
XTL68919,역대의원,강성원,康誠元,null,음,1928-12-02,null,민주공화당,null,전국구,null,"국회운영위원회, 외무위원회",초선,제8대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/XTL68919.jpg
ZB81328B,역대의원,강성재,姜聲才,"Kang, Sung-jae",음,1939-03-11,null,신한국당,서울 성북구을,지역구,null,"예산결산특별위원회, 경제구조개혁및실업대책특별위원회, 산업자원위원회, 행정자치위원회, 통상산업위원회, 국제경쟁력강화및경제제도개혁에관한특별위원회, 제15대국회의원총선거에있어서공정성시비국정조사특별위원회, 내무위원회",초선,제15대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/ZB81328B.jpg
2ML68608,역대의원,강성종,康聖鐘,Kang Sung Jong,음,1966-07-18,국회의원,열린우리당/통합민주당,경기 의정부시을/경기 의정부시을,지역구/지역구,null,"예산결산특별위원회, 방송통신특별위원회, 국회운영위원회, 교육위원회, 장애인특별위원회, 과학기술정보통신위원회/국토해양위원회, 문화체육관광방송통신위원회, 정무위원회, 여성가족위원회, 2012년 여수세계박람회지원특별위원회, 기획재정위원회, 예산결산특별위원회",재선,"제17대, 제18대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/2ML68608.jpg
H8S93115,역대의원,강성천,姜成天,"Kang, Sung Chun",음,1940-08-15,null,한나라당,비례대표,비례대표,null,"일자리창출 및 중소기업경쟁력특별위원회, 환경노동위원회",초선,제18대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/H8S93115.jpg
7D558796,역대의원,강성태,姜聲邰,null,음,1903-11-05,null,자유당,경기 양주을,지역구,null,상공위원회,초선,제4대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/7D558796.jpg
6FS10566,역대의원,강성희,姜聖熙,KANG SUNGHEE,음,1972-09-07,null,진보당,전북 전주시을,지역구,null,null,초선,제21대,남,null,null,null,null,null,null,[주요약력] 現) 진보당 원내대표     국회 정무위원회 위원     진보당 대출금리인하 운동본부장     진보당 전북도당 민생특위 위원장 前)민주노총 택배노조 전북지부 사무국장     금속노조 현대자동차 비정규직지회 지회장  [학력] 휘문고 / 한국외국어대 졸업,null,https://www.assembly.go.kr/static/portal/img/openassm/6FS10566.jpg
SEU6473L,역대의원,강세형,姜世馨,null,음,1899-06-21,null,무소속,전북 익산을,지역구,null,"외무위원회, 국방위원회",초선,제3대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/SEU6473L.jpg
KY92872I,역대의원,강수림,姜秀淋,"Kang, Soo-lim",음,1947-04-13,null,민주당,서울 성동구병,지역구,null,"지방자치발전특별위원회, 보건복지위원회, 예산결산특별위원회, 보건사회위원회, 정치관계법심의특별위원회, 법제사법위원회",초선,제14대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/KY92872I.jpg
GAL5556G,역대의원,강숙자,姜淑子,Kang Sook-ja,음,1945-12-30,국회의원,민주국민당,비례대표,비례대표,null,"감사원장(전윤철)임명동의에관한인사청문특별위원회, 재해대책특별위원회, 건설교통위원회, 예산결산특별위원회, 통일외교통상위원회, 여성특별위원회, 재정경제위원회",초선,제16대,여,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/GAL5556G.jpg
YN67326D,역대의원,강승구,姜昇求,null,음,1903-10-14,null,무소속/민주당/민정당,"경기 양주군을/경기 양주군을/경기 의정부시,양주군",지역구/지역구/지역구,null,"교통체신위원회/상공위원회/예산결산특별위원회, 내무위원회",3선,"제3대, 제5대, 제6대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/YN67326D.jpg
42K7317Y,현직의원,강승규,姜升圭,KANG SEUNGKYOO,음,1963-09-20,위원,한나라당/국민의힘,서울 마포구갑/충남 홍성군예산군,지역구/지역구,"예산결산특별위원회, 산업통상자원중소벤처기업위원회","예산결산특별위원회, 산업통상자원중소벤처기업위원회",재선,"제18대, 제22대",남,02-784-7141,teamkang9@gmail.com,https://www.assembly.go.kr/members/22nd/KANGSEUNGKYOO,"신진영, 여명","고준혁, 최문택","김순옥, 홍수현, 엄익호, 홍재훈, 박규서","<학력> 조림초, 임성중, 북일고등학교 졸업 고려대학교 정치외교학과 졸업 서울시립대 도시행정대학원 석사 서강대 영상대학원 광고홍보학 박사  <경력> 前 서울특별시 공보관&middot;홍보기획관 前 제18대 국회의원 前 제20대 대한야구협회 회장&middot;아시아야구연맹 회장 前 윤석열 대통령실 초대 시민사회수석",의원회관 605호,https://www.assembly.go.kr/static/portal/img/openassm/new/ec481315df7b49b4b1a0e8761f41ca49.jpg
4AD9396G,역대의원,강신성일,姜申星一,Kang Shin-sung-yill,음,1937-05-08,국회의원,한나라당,대구 동구 ,지역구,null,"환경노동위원회, 예산결산특별위원회, 2010년세계박람회유치특별위원회, 행정자치위원회, 문화관광위원회, 여성특별위원회",초선,제16대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/4AD9396G.jpg
1KZ38436,역대의원,강신옥,姜信玉,"Kang, Sin-ok",음,1936-11-28,null,통일민주당/민주자유당,서울 마포구을,지역구/전국구,null,"예산결산특별위원회, 조선대생이철규변사사건조사특별위원회, 제5공화국에있어서의정치권력형비리조사특별위원회, 법제사법위원회/정치관계법심의특별위원회, 윤리특별위원회, 법제사법위원회",재선,"제13대, 제14대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/1KZ38436.jpg
L8X15139,역대의원,강신조,姜信祚,"Kang, Shin-joe",음,1935-01-04,null,민주자유당,"경북 영양,봉화군",지역구,null,"재정경제위원회, 재무위원회, 예산결산특별위원회, 외무통일위원회",초선,제14대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/L8X15139.jpg
1MY6092K,역대의원,강영훈,姜英勳,Kang Young-hoon,음,1922-05-30,null,민주정의당,null,전국구,null,외무통일위원회,초선,제13대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/1MY6092K.jpg
HF088064,역대의원,강영훈,姜永薰,null,음,1927-08-03,null,민주당/민주당,경기 양주갑/경기 양주갑,지역구/지역구,null,국방위원회,재선,"제4대, 제5대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/HF088064.jpg
P2G3854D,역대의원,강용석,康容碩,"Kang, Yong Seok",음,1969-12-03,null,한나라당,서울 마포구을,지역구,null,"예산결산특별위원회, 미래전략 및 과학기술특별위원회, 지식경제위원회, 감사원장(김황식)임명동의에관한인사청문특별위원회, 가축전염병예방법개정특별위원회",초선,제18대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/P2G3854D.jpg
3QR9592J,역대의원,강용식,康容植,"Kang, Yong-sik",음,1939-05-08,null,민주정의당/민주자유당/신한국당,null,전국구/전국구/전국구,null,"상공위원회/문화체육공보위원회, 정치관계법심의특별위원회, 문화공보위원회/2002년월드컵등국제경기대회지원특별위원회, 문화관광위원회, 제도개선특별위원회, 문화체육공보위원회",3선,"제12대, 제14대, 제15대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/3QR9592J.jpg
GZS38403,역대의원,강우혁,康祐赫,"Kang, Woo-hyuk",음,1938-01-20,null,민주정의당/민주자유당,인천 남동구/인천 남동구,지역구/지역구,null,"5.18광주민주화운동진상조사특별위원회, 재무위원회, 내무위원회, 민주발전을위한법률개폐특별위원회, 국회운영위원회, 상공위원회/보건복지위원회, 예산결산특별위원회, 환경보전대책특별위원회, 보건사회위원회",재선,"제13대, 제14대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/GZS38403.jpg
RJD64678,역대의원,강욱중,姜旭中,null,음,1909-02-19,null,조선민족청년단,경남 함안,지역구,null,법제사법위원회,초선,제헌,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/RJD64678.jpg
